redshift,0,1,2,3,4,5
0.488196888665,0.007051344787826457,0.009681312124128644,0.009391931657054918,0.006116609459510943,0.0031129942923299506,0.0015251271935998764
0.474472058218,0.006917475070423265,0.009490549548505438,0.009199250881871884,0.005981778364899066,0.003038653359992415,0.001487445744044444
0.460981920719,0.006778606901795439,0.009294891567428727,0.008997910612417578,0.005837983845253578,0.0029604225569156203,0.0014488616212030485
0.447718619176,0.006643920043326679,0.009098571459419594,0.008792115807380783,0.0056924040476089,0.002882357589301785,0.001410013594609469
0.434676294496,0.006516147656527742,0.008906733241500635,0.008586555321194404,0.005547826253544786,0.0028070786820704827,0.0013734917724227416
0.421848507522,0.006390761415746759,0.008720251808462705,0.008384919160753701,0.005405203498691668,0.002734551856986331,0.0013400196346213405
0.409227912512,0.0062658759760689286,0.008543201061265106,0.008200793394829469,0.00527267031413658,0.002664388554697849,0.0013079563641295547
0.396810989052,0.006147525612636903,0.008372628395784752,0.008025889872785033,0.0051479479672354,0.0025967793727335736,0.0012757912216668705
0.384589546204,0.006034026754558011,0.008202329048860533,0.007851587404711055,0.005030013290212502,0.002535034457105295,0.00124496348163737
0.372559249403,0.00592445779719654,0.008037268247110462,0.007683236947029738,0.004917275269640841,0.0024765262876999027,0.00121571535953291
0.360714839484,0.005818492467829002,0.007878898633564738,0.007514810680406587,0.004801410095126084,0.002417043256313702,0.0011865675073970087
0.349049882919,0.00570898089889794,0.007719709428905179,0.007343831214906412,0.004684299028612662,0.002358551298312234,0.0011585783223399895
0.337562421543,0.005593277238967934,0.0075553343830789856,0.007177420178476917,0.0045731842929393985,0.0023019772529984032,0.0011311531177001463
0.326244727273,0.005481414972612455,0.007401310401865286,0.007027944873096069,0.004471957883781765,0.002247403845960313,0.0011035907938555124
0.31509373427,0.005379145249840064,0.007260502075283263,0.006888478750321703,0.004373866929846397,0.0021938827390464216,0.001077405205423334
0.304105186695,0.005281717664785289,0.007119171474416418,0.006745166433546879,0.004276212056211819,0.002142245114769761,0.0010517075778889392
0.293274883283,0.0051838554946628266,0.006976019056381162,0.0066016762557079695,0.00418269731150762,0.002093838763327682,0.0010270022034777262
0.282598677504,0.005086198367049358,0.006838529242036304,0.006465032732155201,0.004093028434634497,0.002047737809673587,0.0010040513799437001
0.272071235916,0.004993705057611787,0.006708171997924956,0.006333295935366098,0.004004015282852356,0.002002266424479668,0.0009824481494664662
0.261691834341,0.0048992025513029756,0.006576604538862645,0.0062024571714950965,0.003914537571897306,0.001955283142654951,0.0009599753116013719
0.25145388297,0.004804512566571908,0.006443902805929424,0.006071486080041007,0.003827207218466227,0.0019099314243625277,0.0009375817553388842
0.241355264691,0.004716944218024522,0.0063166756107162405,0.005943685657168561,0.0037449497814161484,0.0018694887217142243,0.0009175185763421893
0.231392661977,0.00462825000980287,0.006188164032492617,0.0058143728692612836,0.0036616559226745828,0.0018292396564269127,0.0008982295472115397
0.221562799399,0.004540338993055405,0.006065842167414313,0.00569193320289487,0.003579108060184047,0.0017875284248121794,0.0008790250672407571
0.211862441792,0.004457084398950043,0.005953810049479284,0.0055806261000902364,0.003501403802258575,0.001746365659609867,0.0008601773386734206
0.202287424421,0.0043746032333375215,0.005843128026386352,0.0054732326572971045,0.003429959851332831,0.0017092184896125861,0.0008421658395792037
0.192837285765,0.004295077361440556,0.005733646778005617,0.005366928268502862,0.003362256460031396,0.0016749009265194846,0.000824402170812396
0.183506686787,0.004219487452031621,0.005628817508274325,0.005262469577664988,0.0032937191740195246,0.0016398184547568757,0.0008064790865563718
0.174294016227,0.004141132239951455,0.005518244249875763,0.005150204210069622,0.003218884689436504,0.0016019917287852343,0.0007879589663461383
0.165196721959,0.004061957271489877,0.005406023864871161,0.005039340272466059,0.0031462565543765885,0.0015649174096464967,0.000769835779826674
0.156212281862,0.0039890240779619935,0.00530296359240851,0.004938743909403792,0.0030806483687974553,0.0015309922934579894,0.0007528351135755671
0.147338203394,0.003918992213682675,0.005203595467401006,0.004839546243258429,0.003016041195155114,0.0014984530708551747,0.0007365124548065193
